equipment,ip_address,incident_time
27008-Eltex1,172.16.24.26,2024-10-08 04:48:13
74026-Eltex2,172.20.18.90,2024-10-08 04:55:14
74029-Eltex2,172.20.16.66,2024-10-08 04:56:13
74037-Eltex2,172.20.29.10,2024-10-08 04:55:17
74030-Eltex2,172.20.19.122,2024-10-08 04:55:14
74041-Eltex2,172.20.32.118,2024-10-08 04:56:13
03009-s-terra1,198.18.27.126,2024-10-08 05:05:13
03002-Eltex2,172.20.23.54,2024-10-08 05:16:12
62010-Eltex2,172.20.29.46,2024-10-08 05:25:12
03009-Eltex1,172.16.25.126,2024-10-08 06:29:13
55015-Eltex2,172.20.21.50,2024-10-08 06:36:13
66053-Eltex1,172.16.27.18,2024-10-08 06:47:15
860433-s-terra1,198.18.32.2,2024-10-08 07:16:07
86033-Eltex2,172.20.28.210,2024-10-08 07:38:11
33014-Eltex2,172.20.30.178,2024-10-08 07:39:15
63001-Eltex2,172.20.14.226,2024-10-08 07:58:15
63005-s-terra2,198.18.144.242,2024-10-08 07:57:20
02033-Eltex2,172.20.30.58,2024-10-08 07:58:16
13010-Eltex1,172.16.33.2,2024-10-08 07:58:08
63036-Eltex2,172.20.15.110,2024-10-08 07:58:15
63029-Eltex2,172.20.15.82,2024-10-08 07:58:14
63019-Eltex2,172.20.15.42,2024-10-08 07:58:13
63033-Eltex2,172.20.15.98,2024-10-08 07:58:14
63031-Eltex2,172.20.15.90,2024-10-08 07:58:13
63008-Eltex2,172.20.14.254,2024-10-08 07:58:13
63011-Eltex2,172.20.15.10,2024-10-08 07:58:13
63007-Eltex2,172.20.14.250,2024-10-08 07:58:12
63012-Eltex2,172.20.15.14,2024-10-08 07:58:14
63018-Eltex2,172.20.15.38,2024-10-08 07:58:12
02025-Eltex2,172.20.25.198,2024-10-08 07:58:12
63023-Eltex2,172.20.15.58,2024-10-08 07:58:13
63005-Eltex2,172.20.14.242,2024-10-08 07:58:13
63032-Eltex2,172.20.15.94,2024-10-08 07:58:13
63035-Eltex2,172.20.15.106,2024-10-08 07:58:13
63015-Eltex2,172.20.15.26,2024-10-08 07:58:12
16046-Eltex2,172.20.32.90,2024-10-08 07:58:13
13009-Eltex2,172.20.31.242,2024-10-08 07:58:13
39009-Eltex1,172.16.9.26,2024-10-08 08:06:16
33014-Eltex2,172.20.30.178,2024-10-08 08:29:15
42041-Eltex1,172.16.28.122,2024-10-08 08:46:14
42041-Eltex1,172.16.28.122,2024-10-08 09:00:13
63036-Eltex2,172.20.15.110,2024-10-08 09:05:14
63029-Eltex2,172.20.15.82,2024-10-08 09:05:14
14009-Eltex2,172.20.23.234,2024-10-08 09:05:13
63019-Eltex2,172.20.15.42,2024-10-08 09:05:14
63033-Eltex2,172.20.15.98,2024-10-08 09:05:14
63031-Eltex2,172.20.15.90,2024-10-08 09:05:13
63008-Eltex2,172.20.14.254,2024-10-08 09:04:21
63011-Eltex2,172.20.15.10,2024-10-08 09:05:14
63007-Eltex2,172.20.14.250,2024-10-08 09:04:22
63012-Eltex2,172.20.15.14,2024-10-08 09:04:21
63001-Eltex2,172.20.14.226,2024-10-08 09:04:24
63018-Eltex2,172.20.15.38,2024-10-08 09:04:26
02025-Eltex2,172.20.25.198,2024-10-08 09:05:13
63023-Eltex2,172.20.15.58,2024-10-08 09:05:14
63005-Eltex2,172.20.14.242,2024-10-08 09:04:22
63032-Eltex2,172.20.15.94,2024-10-08 09:05:14
63035-Eltex2,172.20.15.106,2024-10-08 09:05:13
63015-Eltex2,172.20.15.26,2024-10-08 09:04:18
24036-Eltex2,172.20.28.246,2024-10-08 09:08:13
63035-Eltex2,172.20.15.106,2024-10-08 09:08:14
63035-s-terra1,198.18.17.106,2024-10-08 09:08:15
24036-Eltex1,172.16.28.246,2024-10-08 09:09:14
63007-Eltex2,172.20.14.250,2024-10-08 09:05:16
33014-s-terra2,198.18.160.178,2024-10-08 09:18:18
77063-Eltex2,172.20.0.206,2024-10-08 09:19:15
77185-s-terra1,198.18.6.2,2024-10-08 09:21:17
31012-Eltex2,172.20.10.70,2024-10-08 09:28:13
38021-Eltex2,172.20.22.242,2024-10-08 09:30:15
77090-Eltex2,172.20.1.106,2024-10-08 08:10:35
42041-s-terra1,198.18.30.122,2024-10-08 09:38:13
25019-Eltex2,172.20.28.102,2024-10-08 09:40:15
72044-Eltex2,172.20.32.206,2024-10-08 09:45:13
48011-Eltex2,172.20.33.14,2024-10-08 09:50:21
25004-Eltex2,172.20.24.122,2024-10-08 08:40:36
77212-JuniperZS2,198.18.128.98,2024-10-08 10:30:11
71011-Eltex1,172.16.9.134,2024-10-08 10:32:17
51018-Eltex2,172.20.28.98,2024-10-08 10:35:13
77233-Eltex1,172.16.2.22,2024-10-08 10:25:36
